10.123,0.482,5.302,3.856,3.856,2.892,0.964,3.856,6.267,4.82,2.41,0.964,2.892,0.964,2.41,6.267,4.82,5.785,0.964,1.928,-4.57,-2.911,-1.85,-2.716,2.517,1.734,3.306,3.81,1.437,-0.908,-0.498,1.735,1.805,3.03,-0.113,-0.259,-2.358,-1.825,5.05,3.32,4.161,1.435,-5.946,-3.845,3.767,3.266,-0.785,2.903,-0.215,3.171,0.97,-0.365,2.972,2.882,-0.707,1.976,-6.358,-1.162,2.427,-0.687,1.032,5.426,1.004,2.866,-1.445,-1.912,-0.566,0.402,-1.196,2.312,3.585,0.993,-4.21,-2.401,1.016,3.662,1.38,3.106,-5.936,-0.539
15.263,0.848,10.175,2.544,5.088,8.479,1.696,6.784,12.719,11.023,2.544,8.479,2.544,5.088,3.392,5.936,5.088,11.023,1.696,3.392,1.048,4.595,-11.117,-10.868,1.7,8.076,5.916,6.08,-11.682,-9.437,1.143,0.459,0.01,2.327,-4.973,-4.881,-1.697,-0.417,2.051,5.086,-2.16,-3.873,-3.913,0.138,-2.855,-1.422,2.932,2.701,5.395,7.524,-3.601,-2.588,-0.46,0.529,-0.709,3.259,-5.347,-4.46,-0.732,0.352,-0.398,-0.424,-1.222,-3.544,-0.571,0.069,7.333,10.596,1.307,3.441,2.282,-3.57,-6.548,-3.675,-9.975,-6.508,-0.95,-1.651,9.731,6.348
16.028,0.594,4.155,4.749,5.936,9.498,1.187,1.187,5.936,5.343,2.968,3.562,1.781,2.968,0.594,7.123,3.562,4.155,2.374,0.594,-2.669,-3.992,-0.09,-5.726,0.253,0.141,5.23,8.046,-3.073,-8.475,-0.942,-6.448,0.706,4.219,4.195,1.522,2.216,-4.132,1.293,1.455,-0.103,2.403,1.032,-3.395,-2.472,-2.862,0.894,1.96,0.363,0.043,-0.387,-3.557,1.583,3.863,2.755,5.221,2.105,0.649,-2.892,-4.151,7.074,5.279,4.649,2.018,-3.961,-7.479,-0.297,-2.287,2.357,3.583,1.505,2.473,-3.944,-3.369,0.769,1.302,1.482,-0.617,6.366,2.023
15.935,0.531,3.187,1.593,2.125,10.623,2.656,4.249,6.374,5.843,2.656,1.593,1.593,3.718,1.593,5.312,0.531,5.312,1.062,1.593,1.924,-1.104,-0.352,-3.746,-4.295,-2.277,0.902,1.037,0.312,0.155,3.078,-2.871,4.446,-1.215,5.558,5.682,-1.939,-1.143,0.406,-0.705,1.374,-1.665,2.638,1.648,6.471,2.89,-2.058,-3.887,4.289,1.277,-4.225,-1.488,0.699,-1.091,-0.062,-2.884,-0.302,-3.397,0.761,0.709,3.823,3.321,1.984,-1.745,3.167,4.221,2.887,3.109,0.624,-1.453,4.52,-1.348,-1.81,-3.239,1.545,2.759,-5.212,-2.482,2.236,-0.538
10.067,0,3.553,8.29,3.553,6.514,6.514,5.329,11.251,11.251,1.776,1.184,2.369,2.961,2.369,3.553,2.961,4.737,1.184,1.776,-4.256,-5.592,-1.968,1.341,-2.066,4.081,5.032,6.922,-3.958,-4.989,1.391,0.841,2.487,8.553,4.79,3.723,-3.539,1.068,-4.515,-4.409,5.319,3.918,-5.17,-0.616,-0.892,-0.25,0.343,1.343,5.211,7.777,-4.735,-2.496,-3.928,-1.492,3.501,7.216,0.243,2.565,1.075,-0.514,1.784,5.987,-3.255,3.332,2.712,3.238,-7.417,-1.864,-0.287,3.859,-1.732,-0.642,-4.406,-1.511,-1.318,0.155,-2.1,0.423,-5.429,-6.076
12.553,0,6.645,3.692,10.337,8.122,2.954,6.645,7.384,4.43,2.954,3.692,3.692,2.954,2.215,6.645,6.645,6.645,0.738,1.477,-6.392,-5.849,1.492,-0.798,2.418,1.047,-1.027,-0.863,-0.011,-1.524,-4.272,-8.191,5.663,3.081,4.695,0.849,-6.407,-6.516,-0.175,-2.558,10.518,6.832,-3.432,-3.843,3.357,0.969,4.287,4.774,0.182,-3.012,-2.205,2.313,2.725,4.92,-1.619,1.43,-1.343,-4.871,-2.984,-6.925,4.862,2.125,-0.495,-1.881,-1.396,-0.266,-3.665,-0.967,1.182,5.197,-8.926,-9.994,3.881,7.327,2.879,2.433,2.146,1.938,2.886,3.577
14.937,0,4.268,9.958,4.979,4.979,3.556,6.402,9.958,9.958,0.711,4.268,3.556,2.845,0.711,6.402,5.69,12.092,2.134,1.423,-1.001,-1.789,-5.845,-11.996,-0.349,-2.067,4.558,10.101,-4.766,-8.721,-5.866,-11.889,7.084,8.638,6.523,8.243,0.776,-4.321,-4.434,-3.948,0.818,4.054,3.142,6.05,2.102,-3.091,3.485,-1.938,-1.779,-5.1,0.438,-1.579,-3.133,3.22,-1.748,0.051,-2.56,-1.599,3.97,-1.881,4.888,6.842,0.159,-5.277,-0.635,-1.433,-1.04,2.532,0.815,5.756,-6.88,-7.124,0.864,-2.17,8.477,9.173,2.86,1.44,-3.041,-6.888
11.429,1.524,5.334,6.096,6.096,9.905,6.858,0,8.382,13.715,0.762,4.572,5.334,2.286,2.286,3.81,5.334,13.715,1.524,2.286,-3.967,0.577,-2.741,-9.779,-2.312,-0.507,6.801,8.531,0.433,0.675,-12.011,-8.722,3.52,-0.048,0.276,-0.66,2.034,0.994,-1.05,-4.086,-3.851,-6.085,1.145,0.003,6.026,4.407,0.969,1.784,-1.109,-5.64,-4.44,-3.706,3.231,5.613,-0.143,2.084,3.078,-1.16,-4.116,-3.067,3.94,5.468,8.675,7.601,6.919,0.848,-5.19,-10.484,-1.464,0.251,1.228,3.891,0.476,-2.12,2.582,-6.524,-5.143,-4.796,3.294,6.32
9.913,0.451,3.605,0.901,4.055,5.858,1.802,2.704,4.957,6.759,1.352,1.802,2.704,2.704,0.451,2.704,3.154,4.506,0.901,2.253,-1.562,-1.578,-0.7,-4.922,1.553,-1.533,-0.609,0.743,0.417,-1.925,2.05,-2.064,1.576,1.319,5.207,4.427,-0.531,-3.756,-1.492,-1.256,3.576,2.591,-1.276,-3.605,3.018,0.244,2.703,2.197,1.378,0.696,4.201,2.484,-1.347,-1.253,1.453,-0.793,1.844,1.835,-0.834,-1.535,4.432,2,-0.888,0.969,-1.136,-1.681,3.851,0.433,2.026,-1.019,1.756,-2.617,-0.565,-0.747,4.945,6.273,5.807,2.383,-1.094,-1.601
3.826,1.043,3.826,5.565,2.782,1.739,2.782,1.391,4.869,4.173,1.043,2.087,2.087,1.739,3.478,1.043,3.478,1.739,1.043,2.434,2.3,2.995,-6.63,-8.448,-0.048,3.429,6.221,8.578,-0.103,0.339,-2.215,-1.468,0.435,4.744,7.343,4.214,-1.325,-1.954,-0.648,2.806,3.083,5.005,-2.258,-1.977,-2.159,0.549,-1.859,1.858,0.97,-0.147,4.878,5.006,1.591,2.304,3.582,3.895,0.628,1.544,-4.954,-3.704,-2.447,-1.269,4.03,4.549,-0.905,2.434,-0.054,0.536,-1.382,-0.774,3.434,5.498,-0.507,1.162,1.506,1.734,-3.347,0.698,-4.846,-0.618
