14.229,0.678,7.453,5.42,5.42,4.065,1.355,5.42,8.808,6.776,3.388,1.355,4.065,1.355,3.388,8.808,6.776,8.131,1.355,2.71,-6.423,-4.091,-2.6,-3.818,3.537,2.437,4.647,5.355
11.811,0.656,7.874,1.968,3.937,6.562,1.312,5.249,9.842,8.53,1.968,6.562,1.968,3.937,2.625,4.593,3.937,8.53,1.312,2.625,0.811,3.556,-8.602,-8.41,1.315,6.249,4.578,4.705
18.749,0.694,4.861,5.555,6.944,11.11,1.389,1.389,6.944,6.25,3.472,4.166,2.083,3.472,0.694,8.333,4.166,4.861,2.778,0.694,-3.122,-4.67,-0.106,-6.698,0.296,0.165,6.118,9.412
22.709,0.757,4.542,2.271,3.028,15.139,3.785,6.056,9.084,8.327,3.785,2.271,2.271,5.299,2.271,7.57,0.757,7.57,1.514,2.271,2.742,-1.573,-0.501,-5.339,-6.12,-3.245,1.285,1.477
10.632,0,3.752,8.756,3.752,6.879,6.879,5.629,11.883,11.883,1.876,1.251,2.502,3.127,2.502,3.752,3.127,5.003,1.251,1.876,-4.495,-5.906,-2.079,1.416,-2.182,4.31,5.315,7.311
13.878,0,7.347,4.082,11.429,8.98,3.265,7.347,8.164,4.898,3.265,4.082,4.082,3.265,2.449,7.347,7.347,7.347,0.816,1.633,-7.067,-6.467,1.65,-0.883,2.674,1.157,-1.135,-0.954
14.872,0,4.249,9.914,4.957,4.957,3.541,6.374,9.914,9.914,0.708,4.249,3.541,2.833,0.708,6.374,5.665,12.039,2.125,1.416,-0.996,-1.781,-5.819,-11.943,-0.347,-2.058,4.538,10.057
10.597,1.413,4.945,5.652,5.652,9.184,6.358,0,7.771,12.717,0.706,4.239,4.945,2.119,2.119,3.532,4.945,12.717,1.413,2.119,-3.678,0.535,-2.541,-9.067,-2.143,-0.47,6.306,7.91
18.048,0.82,6.563,1.641,7.383,10.665,3.281,4.922,9.024,12.306,2.461,3.281,4.922,4.922,0.82,4.922,5.743,8.204,1.641,4.102,-2.845,-2.873,-1.275,-8.961,2.828,-2.791,-1.109,1.353
6.317,1.723,6.317,9.188,4.594,2.871,4.594,2.297,8.039,6.891,1.723,3.445,3.445,2.871,5.742,1.723,5.742,2.871,1.723,4.02,3.798,4.945,-10.947,-13.95,-0.079,5.661,10.273,14.163
