15.732,0.749,8.241,5.993,5.993,4.495,1.498,5.993,9.739,7.492,3.746,1.498,4.495,1.498,3.746,9.739,7.492,8.99,1.498,2.997,-7.102,-4.523
11.791,0.655,7.861,1.965,3.93,6.551,1.31,5.241,9.826,8.516,1.965,6.551,1.965,3.93,2.62,4.586,3.93,8.516,1.31,2.62,0.809,3.55
20.646,0.765,5.353,6.117,7.646,12.234,1.529,1.529,7.646,6.882,3.823,4.588,2.294,3.823,0.765,9.176,4.588,5.353,3.059,0.765,-3.438,-5.142
20.196,0.673,4.039,2.02,2.693,13.464,3.366,5.386,8.078,7.405,3.366,2.02,2.02,4.712,2.02,6.732,0.673,6.732,1.346,2.02,2.439,-1.399
12.375,0,4.368,10.192,4.368,8.008,8.008,6.552,13.831,13.831,2.184,1.456,2.912,3.64,2.912,4.368,3.64,5.824,1.456,2.184,-5.232,-6.875
14.235,0,7.536,4.187,11.723,9.211,3.349,7.536,8.374,5.024,3.349,4.187,4.187,3.349,2.512,7.536,7.536,7.536,0.837,1.675,-7.249,-6.633
14.087,0,4.025,9.391,4.696,4.696,3.354,6.037,9.391,9.391,0.671,4.025,3.354,2.683,0.671,6.037,5.366,11.403,2.012,1.342,-0.944,-1.687
10.597,1.413,4.945,5.652,5.652,9.184,6.358,0,7.771,12.716,0.706,4.239,4.945,2.119,2.119,3.532,4.945,12.716,1.413,2.119,-3.678,0.535
16.414,0.746,5.969,1.492,6.715,9.699,2.984,4.477,8.207,11.191,2.238,2.984,4.477,4.477,0.746,4.477,5.223,7.461,1.492,3.73,-2.587,-2.613
6.658,1.816,6.658,9.684,4.842,3.026,4.842,2.421,8.473,7.263,1.816,3.631,3.631,3.026,6.052,1.816,6.052,3.026,1.816,4.237,4.003,5.212
12.734,0,6.032,4.692,4.692,4.692,3.351,4.692,6.702,11.394,4.021,3.351,2.011,7.373,5.362,8.043,5.362,7.373,1.34,2.011,-2.627,-2.599
16.153,1.346,5.384,4.038,4.038,8.749,0.673,5.384,5.384,8.749,1.346,4.711,4.038,3.365,4.038,10.768,8.076,5.384,0.673,6.73,-5.458,-3.572
17.041,1.649,7.146,2.749,2.199,7.696,0,4.947,3.298,8.246,3.298,3.848,1.649,2.749,5.497,7.696,4.398,7.146,0,3.298,3.313,2.137
